"Facilités permanentes"
"En millions de dirhams"
"Date de l'appel d'offres";"Date de valeur";"Date d'échéance";Instrument;"Montant demandé";"Montant servi";Taux
17/04/2012;17/04/2012;18/04/2012;"Avance à 24h";"1 730,00";"1 730,00";"4,25 %"
21/09/2011;21/09/2011;22/09/2011;"Avance à 24h";"2 070,00";"2 070,00";"4,25 %"
20/09/2011;20/09/2011;21/09/2011;"Avance à 24h";"2 060,00";"2 060,00";"4,25 %"
22/06/2011;22/06/2011;23/06/2011;"Avance à 24h";"2 530,00";"2 000,00";"4,25 %"
15/02/2011;15/02/2011;18/02/2011;"Avance à 24h";"3 590,00";"3 590,00";"4,25 %"
16/07/2010;16/07/2010;19/07/2010;"Avance à 24h";"1 330,00";"1 000,00";"4,25 %"
15/07/2010;15/07/2010;16/07/2010;"Avance à 24h";870,00;500,00;"4,25 %"
20/11/2009;20/11/2009;23/11/2009;"Avance à 24h";250,00;250,00;"4,25 %"
19/06/2009;19/06/2009;22/06/2009;"Avance à 24h";"1 900,00";"1 900,00";"4,25 %"
15/12/2008;15/12/2008;16/12/2008;"Avance à 24h";"1 500,00";"1 500,00";"4,50 %"
12/12/2008;12/12/2008;15/12/2008;"Avance à 24h";800,00;800,00;"4,50 %"
10/12/2008;10/12/2008;11/12/2008;"Avance à 24h";"1 100,00";"1 100,00";"4,50 %"
09/12/2008;09/12/2008;10/12/2008;"Avance à 24h";"1 100,00";"1 100,00";"4,50 %"
08/12/2008;08/12/2008;09/12/2008;"Avance à 24h";"1 100,00";"1 100,00";"4,50 %"
05/12/2008;05/12/2008;08/12/2008;"Avance à 24h";"1 100,00";"1 100,00";"4,50 %"
03/01/2008;03/01/2008;04/01/2008;"Avance à 24h";580,00;580,00;"4,25 %"
